Year,Month,Date,Model_ID,Dealer ID,Quantity Sold,Profit
2025,December,2025-12-01 23:00:00,87110,1222,7,10506
2025,December,2025-12-01 23:00:00,99110,1222,9,27529
2025,December,2025-12-01 23:00:00,132120,1222,12,9673
2025,December,2025-12-01 23:00:00,147160,1222,2,4620
2025,December,2025-12-01 23:00:00,26151,1222,16,8008
2025,December,2025-12-01 23:00:00,87110,1224,11,16545
2025,December,2025-12-01 23:00:00,99110,1224,13,39746
2025,December,2025-12-01 23:00:00,132120,1224,17,13644
2025,December,2025-12-01 23:00:00,147160,1224,4,9232
2025,December,2025-12-01 23:00:00,26151,1224,23,11563
2025,December,2025-12-01 23:00:00,87110,1215,9,13525
2025,December,2025-12-01 23:00:00,99110,1215,12,36684
2025,December,2025-12-01 23:00:00,132120,1215,15,12042
2025,December,2025-12-01 23:00:00,147160,1215,3,6965
2025,December,2025-12-01 23:00:00,26151,1215,22,11046
2025,December,2025-12-01 23:00:00,87110,1301,11,16591
2025,December,2025-12-01 23:00:00,99110,1301,13,39664
2025,December,2025-12-01 23:00:00,132120,1301,18,14434
2025,December,2025-12-01 23:00:00,147160,1301,4,9256
2025,December,2025-12-01 23:00:00,26151,1301,24,12005
2025,December,2025-12-01 23:00:00,87110,1336,8,12093
2025,December,2025-12-01 23:00:00,99110,1336,11,33609
2025,December,2025-12-01 23:00:00,132120,1336,15,12098
2025,December,2025-12-01 23:00:00,147160,1336,3,6930
2025,December,2025-12-01 23:00:00,26151,1336,20,10078
2025,December,2025-12-01 23:00:00,87110,1401,8,12032
2025,December,2025-12-01 23:00:00,99110,1401,11,33638
2025,December,2025-12-01 23:00:00,132120,1401,14,11256
2025,December,2025-12-01 23:00:00,147160,1401,3,6987
2025,December,2025-12-01 23:00:00,26151,1401,19,9548
2025,December,2025-12-01 23:00:00,87110,1402,7,10505
2025,December,2025-12-01 23:00:00,99110,1402,10,30534
2025,December,2025-12-01 23:00:00,132120,1402,12,9631
2025,December,2025-12-01 23:00:00,147160,1402,2,4632
2025,December,2025-12-01 23:00:00,26151,1402,16,8031
2025,December,2025-12-01 23:00:00,87110,1212,8,12026
2025,December,2025-12-01 23:00:00,99110,1212,12,36631
2025,December,2025-12-01 23:00:00,132120,1212,14,11210
2025,December,2025-12-01 23:00:00,147160,1212,3,6923
2025,December,2025-12-01 23:00:00,26151,1212,20,10018
2025,December,2025-12-01 23:00:00,87110,1217,8,12017
2025,December,2025-12-01 23:00:00,99110,1217,11,33646
2025,December,2025-12-01 23:00:00,132120,1217,15,12053
2025,December,2025-12-01 23:00:00,147160,1217,3,6997
2025,December,2025-12-01 23:00:00,26151,1217,21,10520
2025,December,2025-12-01 23:00:00,87110,1288,12,18078
2025,December,2025-12-01 23:00:00,99110,1288,14,42714
2025,December,2025-12-01 23:00:00,132120,1288,18,14470
